event_id,beneficiary_id,event_type,event_timestamp,user_agent
1,828,view_coverage,2025-12-01 00:00:00,Safari iOS
2,483,login,2025-12-01 00:15:15,Firefox Desktop
3,238,view_claims,2025-12-01 00:30:31,Firefox Desktop
4,579,message_read,2025-12-01 00:45:47,Firefox Desktop
5,981,view_coverage,2025-12-01 01:01:03,Safari iOS
6,226,view_claims,2025-12-01 01:16:19,Firefox Desktop
7,398,message_read,2025-12-01 01:31:35,Chrome Mobile
8,124,login,2025-12-01 01:46:51,Safari iOS
9,71,login,2025-12-01 02:02:07,Firefox Desktop
10,700,view_claims,2025-12-01 02:17:23,Safari iOS
11,313,message_read,2025-12-01 02:32:39,Safari iOS
12,857,view_claims,2025-12-01 02:47:55,Firefox Desktop
13,337,message_read,2025-12-01 03:03:11,Firefox Desktop
14,186,view_claims,2025-12-01 03:18:27,Safari iOS
15,231,view_coverage,2025-12-01 03:33:43,Firefox Desktop
16,68,login,2025-12-01 03:48:58,Safari iOS
17,263,view_claims,2025-12-01 04:04:14,Safari iOS
18,609,message_read,2025-12-01 04:19:30,Safari iOS
19,940,login,2025-12-01 04:34:46,Firefox Desktop
20,241,view_coverage,2025-12-01 04:50:02,Safari iOS
21,946,view_claims,2025-12-01 05:05:18,Chrome Mobile
22,979,message_read,2025-12-01 05:20:34,Safari iOS
23,404,view_coverage,2025-12-01 05:35:50,Safari iOS
24,760,view_claims,2025-12-01 05:51:06,Safari iOS
25,405,view_coverage,2025-12-01 06:06:22,Safari iOS
26,712,view_coverage,2025-12-01 06:21:38,Chrome Mobile
27,875,message_read,2025-12-01 06:36:54,Firefox Desktop
28,200,message_read,2025-12-01 06:52:10,Chrome Mobile
29,71,view_coverage,2025-12-01 07:07:26,Safari iOS
30,39,view_claims,2025-12-01 07:22:42,Firefox Desktop
31,583,message_read,2025-12-01 07:37:57,Safari iOS
32,224,view_claims,2025-12-01 07:53:13,Firefox Desktop
33,314,login,2025-12-01 08:08:29,Chrome Mobile
34,362,login,2025-12-01 08:23:45,Chrome Mobile
